    t;         P1;         P2;         P3;         P4;
    1;        [1];        [2];           ;           ;
    2;        [1];        [2];           ;           ;
    3;   [3]/S[1];   [2]/R[1];           ;           ;
    4;   [3]/S[1];   [4]/R[1];           ;           ;
    5;   [3]/S[1];      /R[1];           ;           ;
    6;   [3]/S[1];      /R[1];           ;           ;
    7;   [3]/S[1];      /R[1];           ;           ;
    8;        [3];   [5]/S[2];      /R[2];           ;
    9;        [3];   [5]/S[2];      /R[2];           ;
   10;        [3];        [5];        [6];           ;
   11;      /S[3];   [5]/R[3];        [6];           ;
   12;      /S[3];   [5]/R[3];        [6];           ;
   13;      /R[5];   [7]/S[5];        [6];           ;
   14;      /R[5];   [7]/S[5];        [9];           ;
   15;      /R[5];   [7]/S[5];        [9];           ;
   16;      /R[6];        [7];   [9]/S[6];           ;
   17;      /R[6];        [7];   [9]/S[6];           ;
   18;        [8];       [10];  [12]/S[9];      /R[9];
   19;   [8]/R[7];  [10]/S[7];  [12]/S[9];      /R[9];
   20;       [11];       [10];       [12];       [13];
   21;       [11];       [10];       [12];       [13];
   22; [11]/R[12];       [10]; [12]/S[12];       [13];
   23; [11]/R[12];       [10]; [16]/S[12];       [13];
   24; [11]/R[12];       [14]; [16]/S[12];       [17];
   25; [11]/R[12];       [14]; [16]/S[12];       [17];
   26; [11]/R[12];       [14]; [16]/S[12];       [17];
   27;     /R[12];       [14]; [16]/S[12];       [17];
   28;       [15];       [18];     /S[16]; [17]/R[16];
   29;       [15];       [18];     /S[16]; [17]/R[16];
   30;       [15];       [18];           ;       [20];
   31;       [15];       [18];           ;       [20];
   32;       [15];       [18];           ;       [20];
   33;       [15];       [18];           ;       [20];
   34;       [19];       [18];           ;       [20];
   35;       [19];           ;           ;           ;
   36;       [19];           ;           ;           ;
   37; [19]/R[18];     /S[18];           ;           ;
   38; [19]/R[18];     /S[18];           ;           ;
   39; [21]/S[19];           ;           ;     /R[19];
   40; [21]/S[19];           ;           ;     /R[19];
   41; [21]/S[19];           ;           ;     /R[19];
   42;           ;           ;           ;       [22];
   43;           ;           ;           ;       [22];
   44;           ;           ;           ;       [22];
   45;           ;           ;           ;       [22];
   46;           ;           ;           ;           ;
   47;           ;           ;           ;           ;
   48;           ;           ;           ;           ;
   49;           ;           ;           ;           ;
   50;           ;           ;           ;           ;
   51;           ;           ;           ;           ;
   52;           ;           ;           ;           ;
   53;           ;           ;           ;           ;
   54;           ;           ;           ;           ;
   55;           ;           ;           ;           ;
   56;           ;           ;           ;           ;
   57;           ;           ;           ;           ;
   58;           ;           ;           ;           ;
   59;           ;           ;           ;           ;
   60;           ;           ;           ;           ;
   61;           ;           ;           ;           ;
   62;           ;           ;           ;           ;
   63;           ;           ;           ;           ;
   64;           ;           ;           ;           ;
   65;           ;           ;           ;           ;
   66;           ;           ;           ;           ;
   67;           ;           ;           ;           ;
   68;           ;           ;           ;           ;
   69;           ;           ;           ;           ;
   70;           ;           ;           ;           ;
   71;           ;           ;           ;           ;
   72;           ;           ;           ;           ;
   73;           ;           ;           ;           ;
   74;           ;           ;           ;           ;
   75;           ;           ;           ;           ;
   76;           ;           ;           ;           ;
   77;           ;           ;           ;           ;
   78;           ;           ;           ;           ;
   79;           ;           ;           ;           ;
   80;           ;           ;           ;           ;
   81;           ;           ;           ;           ;
   82;           ;           ;           ;           ;
   83;           ;           ;           ;           ;
   84;           ;           ;           ;           ;
   85;           ;           ;           ;           ;
   86;           ;           ;           ;           ;
   87;           ;           ;           ;           ;
   88;           ;           ;           ;           ;
   89;           ;           ;           ;           ;
   90;           ;           ;           ;           ;
   91;           ;           ;           ;           ;
   92;           ;           ;           ;           ;
   93;           ;           ;           ;           ;
   94;           ;           ;           ;           ;
   95;           ;           ;           ;           ;
   96;           ;           ;           ;           ;
   97;           ;           ;           ;           ;
   98;           ;           ;           ;           ;
   99;           ;           ;           ;           ;
  100;           ;           ;           ;           ;
  101;           ;           ;           ;           ;
  102;           ;       null;       null;       null;
